name,model,lr,bs,accum,acc,loss,epoch,best_checkpoint
bert_bs8_acc1_lr2e-05,bert-base-uncased,2e-05,8,1,0.58324460070316424,1.4352480173110962,3.0,./Classifier/bert_bs8_acc1_lr2e-05/checkpoint-11928
bert_bs8_acc1_lr3e-05,bert-base-uncased,3e-05,8,1,0.57600703164239075,1.4199883937835693,3.0,./Classifier/bert_bs8_acc1_lr3e-05/checkpoint-11928
bert_bs8_acc1_lr5e-05,bert-base-uncased,5e-05,8,1,0.5800251130085384,1.343994379043579,2.0,./Classifier/bert_bs8_acc1_lr5e-05/checkpoint-7952
bert_bs8_acc2_lr1e-05,bert-base-uncased,1e-05,8,2,0.5994324460070316,1.433517575263977,4.0,./Classifier/bert_bs8_acc2_lr1e-05/checkpoint-7952
bert_bs8_acc2_lr2e-05,bert-base-uncased,2e-05,8,2,0.59826720241084883,1.3180041313171387,2.0,./Classifier/bert_bs8_acc2_lr2e-05/checkpoint-3976
bert_bs8_acc2_lr3e-05,bert-base-uncased,3e-05,8,2,0.5978754394776494,1.32209312915802,2.0,./Classifier/bert_bs8_acc2_lr3e-05/checkpoint-3976
bert_bs8_acc2_lr5e-05,bert-base-uncased,5e-05,8,2,0.5912355600200904,1.4201972484588623,3.0,./Classifier/bert_bs8_acc2_lr5e-05/checkpoint-5964
bert_bs8_acc4_lr1e-05,bert-base-uncased,1e-05,8,4,0.5927423405323958,1.3434385061264038,2.0,./Classifier/bert_bs8_acc4_lr1e-05/checkpoint-1988
bert_bs8_acc4_lr2e-05,bert-base-uncased,2e-05,8,4,0.60918131592164743,1.4726142883300781,4.0,./Classifier/bert_bs8_acc4_lr2e-05/checkpoint-3976
bert_bs8_acc4_lr3e-05,bert-base-uncased,3e-05,8,4,0.5915318935208438,1.3225212097167969,2.0,./Classifier/bert_bs8_acc4_lr3e-05/checkpoint-1988
bert_bs8_acc4_lr5e-05,bert-base-uncased,5e-05,8,4,0.5907785032646911,1.3228594064712524,2.0,./Classifier/bert_bs8_acc4_lr5e-05/checkpoint-1988

bert_bs16_acc1_lr1e-05,bert-base-uncased,1e-05,16,1,0.6294324460070316,1.4192860126495361,4.0,./Classifier/bert_bs16_acc1_lr1e-05/checkpoint-7952
bert_bs16_acc1_lr2e-05,bert-base-uncased,2e-05,16,1,0.6358011049723757,1.319885015487671,2.0,./Classifier/bert_bs16_acc1_lr2e-05/checkpoint-3976
bert_bs16_acc2_lr3e-05,bert-base-uncased,3e-05,16,2,0.6332898041185334,1.3156099319458008,2.0,./Classifier/bert_bs16_acc2_lr3e-05/checkpoint-1988
bert_bs16_acc4_lr3e-05,bert-base-uncased,3e-05,16,4,0.6435047714716223,1.3228083848953247,2.0,./Classifier/bert_bs16_acc4_lr3e-05/checkpoint-994
distilbert_bs16_acc2_lr3e-05,distilbert-base-uncased,3e-05,16,2,0.55379206428930186,1.317657470703125,2.0,./Classifier/distilbert_bs16_acc2_lr3e-05/checkpoint-1988
distilbert_bs16_acc4_lr3e-05,distilbert-base-uncased,3e-05,16,4,0.5567604218985434,1.3247253894805908,2.0,./Classifier/distilbert_bs16_acc4_lr3e-05/checkpoint-994
roberta_bs16_acc2_lr3e-05,roberta-base,3e-05,16,2,0.5719889502762431,1.396714687347412,4.0,./Classifier/roberta_bs16_acc2_lr3e-05/checkpoint-3976
roberta_bs16_acc4_lr3e-05,roberta-base,3e-05,16,4,0.57299347061778,1.3301565647125244,2.0,./Classifier/roberta_bs16_acc4_lr3e-05/checkpoint-994
albert_bs16_acc2_lr3e-05,albert-base-v2,3e-05,16,2,0.5799347061778001,1.3724638223648071,4.0,./Classifier/albert_bs16_acc2_lr3e-05/checkpoint-3976
albert_bs16_acc4_lr3e-05,albert-base-v2,3e-05,16,4,0.576258161727775,1.3799456357955933,4.0,./Classifier/albert_bs16_acc4_lr3e-05/checkpoint-1988
